step,n_agents,n_families,n_species
0,145,145,5
100,281,247,75
step,n_agents,n_families,n_species
0,144,144,5
100,265,229,73
200,535,438,104
step,n_agents,n_families,n_species
0,145,145,5
100,269,240,70
200,595,489,100
300,1747,1350,103
step,n_agents,n_families,n_species
0,145,145,5
100,249,231,73
200,435,383,95
300,800,705,105
step,n_agents,n_families,n_species
0,145,145,5
step,n_agents,n_families,n_species
0,145,145,5
100,268,239,5
200,514,441,5
300,1186,988,5
400,1988,1594,5
500,1989,1645,5
600,1988,1686,5
700,1993,1708,5
800,1987,1770,5
900,1987,1787,5
1000,1986,1758,4
step,n_agents,n_families,n_species
0,145,145,5
100,240,224,5
200,492,415,5
300,1229,958,5
step,n_agents,n_families,n_species
0,145,145,5
100,248,218,5
200,509,420,5
step,n_agents,n_families,n_species
0,145,5,5
100,467,234,5
200,1089,812,5
300,1985,1485,5
step,n_agents,n_families,n_species
0,145,5,5
100,455,225,5
200,1063,772,5
step,n_agents,n_families,n_species
0,145,5,5
100,441,212,5
200,1044,739,5
step,n_agents,n_families,n_species
0,145,5,5
100,449,229,5
200,1001,718,5
step,n_agents,n_families,n_species
0,145,5,5
100,455,176,5
step,n_agents,n_families,n_species
0,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,478,90,45
200,1128,302,84
300,1990,544,86
400,1979,649,54
step,n_agents,n_families,n_species
0,145,5,5
100,482,92,53
200,1149,309,79
300,1990,560,87
400,1979,645,56
500,1977,795,44
600,1990,952,36
700,1984,1068,36
step,n_agents,n_families,n_species
0,145,5,5
100,493,80,50
200,1181,310,85
300,1987,523,83
400,1981,608,54
500,1989,722,43
600,1989,933,34
700,1984,1040,32
800,1992,1165,32
step,n_agents,n_families,n_species
0,145,5,5
100,478,73,38
200,1123,279,76
300,1992,517,83
step,n_agents,n_families,n_species
0,145,5,5
100,646,159,64
200,1902,762,107
300,1967,988,123
400,1815,857,142
step,n_agents,n_families,n_species
0,145,5,5
100,668,127,44
200,1992,636,95
step,n_agents,n_families,n_species
0,145,5,5
100,705,37,26
200,2211,237,78
step,n_agents,n_families,n_species
0,145,5,5
100,494,7,11
200,1615,23,31
300,7021,64,56
step,n_agents,n_families,n_species
0,144,5,5
100,601,11,14
200,1930,23,27
300,6456,58,49
400,18820,132,74
step,n_agents,n_families,n_species
0,145,5,5
100,550,10,25
200,1244,28,44
300,2103,49,56
400,3290,86,74
500,6693,141,82
600,14071,236,92
700,19902,283,86
800,19832,272,73
step,n_agents,n_families,n_species
0,145,5,5
100,699,9,27
200,2206,41,47
300,3545,84,68
400,4242,126,87
500,5361,162,88
600,7266,215,101
700,10418,275,111
800,19925,369,112
900,19846,310,92
1000,19884,289,72
1100,19833,308,50
1200,19915,386,40
step,n_agents,n_families,n_species
0,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
200,145,5,5
300,145,5,5
400,145,5,5
500,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
200,1,1,1
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
200,1,1,1
300,1,1,1
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
200,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
200,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,144,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
100,144,5,5
step,n_agents,n_families,n_species
0,145,5,5
step,n_agents,n_families,n_species
0,145,5,5
step,n_agents,n_families,n_species
0,142,4,4
100,351,7,7
200,720,24,16
300,1529,47,23
400,3085,108,33
step,n_agents,n_families,n_species
0,138,4,4
100,367,5,5
step,n_agents,n_families,n_species
0,138,4,4
100,253,5,5
200,321,11,7
step,n_agents,n_families,n_species
0,142,4,4
100,263,7,7
step,n_agents,n_families,n_species
0,140,4,4
100,371,8,7
200,616,21,14
300,759,43,25
400,900,63,34
500,1318,107,42
step,n_agents,n_families,n_species
0,140,4,4
step,n_agents,n_families,n_species
0,140,5,5
100,402,6,5
200,635,19,14
step,n_agents,n_families,n_species
0,142,5,5
100,339,9,9
200,609,19,15
300,861,44,27
400,1297,82,36
step,n_agents,n_families,n_species
0,142,5,5
100,380,12,9
200,661,29,19
300,1070,61,26
step,n_agents,n_families,n_species
0,141,5,5
100,422,8,6
200,698,29,16
300,757,40,23
400,1043,68,33
500,1313,122,37
step,n_agents,n_families,n_species
0,136,5,5
100,353,8,7
step,n_agents,n_families,n_species
0,141,5,5
100,371,8,6
200,577,24,12
step,n_agents,n_families,n_species
0,138,5,5
100,394,12,10
200,728,31,17
300,949,56,26
400,1385,98,34
500,1935,167,40
600,2096,224,43
700,1894,272,41
step,n_agents,n_families,n_species
0,140,5,5
100,214,6,5
200,245,11,9
step,n_agents,n_families,n_species
0,141,5,5
100,161,6,6
200,169,6,5
300,185,6,4
400,172,11,6
500,171,16,11
step,n_agents,n_families,n_species
0,142,5,5
100,245,9,9
200,245,9,9
300,280,10,8
step,n_agents,n_families,n_species
0,139,5,5
100,276,14,20
200,239,15,13
300,274,20,13
400,281,26,15
step,n_agents,n_families,n_species
0,140,5,5
100,257,11,15
200,343,16,20
300,318,15,12
step,n_agents,n_families,n_species
0,139,5,5
100,1028,14,14
200,17265,101,32
step,n_agents,n_families,n_species
0,142,5,5
100,988,13,18
200,5751,43,26
step,n_agents,n_families,n_species
0,141,5,5
100,796,11,13
200,918,23,15
300,949,38,22
400,1098,56,24
step,n_agents,n_families,n_species
0,142,5,5
step,n_agents,n_families,n_species
0,140,5,5
step,n_agents,n_families,n_species
0,144,5,5
100,1027,30,35
step,n_agents,n_families,n_species
0,142,5,5
100,1032,30,34
200,1535,70,50
300,1436,103,65
400,1798,138,69
